"location"
"Millbrae BART Station"
"Balboa Park BART Station"
"Embarcadero BART Station"
"Milpitas BART Station"
"Richmond BART Station"
"San Francisco County"
"24th Street BART Station"
"Coliseum BART Station"
"Fruitvale BART Station"
"North Concord BART"
"Antioch E-Bart Station"
"MacArthur BART Station"
"West Oakland BART"
"West Dublin BART"
"San Mateo County"
"Walnut Creek BART"
"Ashby BART Station"
"Civic Center BART"
"Union City BART Station"
"Fremont BART Station"
"16th Street BART Station"
"El Cerrito Del Nort BART"
"Lake Merritt BART"
"South San Francisco BART"
"San Bruno BART Station"
"Oakland Shops"
"Pittsburg BART Station"
"Oakland West BART"
"El Cerrito Plaza BART"
"Berryessa/N San Jose"
"North Berkeley BART"
"SFO BART Station"
"Lafayette BART Station"
"Bay Fair BART Station"
"Powell BART Station"
"Berkeley BART Station"
"Pleasant Hill BART"
"Castro Valley BART"
"Concord BART Station"
"Hayward BART Station"
"Not on BART Property"
"Daly City BART Station"
"12th Street BART Station"
"Dublin/Pleasanton BART"
"Glen Park BART Station"
"Montgomery BART Station"
"San Leandro BART Station"
